string,sectionName,label,citingPaperId,citedPaperId,excerpt_index,isKeyCitation,label2,citeEnd,citeStart,source,label_confidence,label2_confidence,id
"…lifetimes, whereas indirect benefits refer to benefits to genetically related recipients; i.e., benefits that increase the inclusive fitness of benefactors but typicaly imply fitness costs that are not compensated during the benefactors’ lifetimes (Hamilton 1964; Trivers 1971; West et al. 2007).",Implications for Explaining Cooperation: Towards a Classification in Terms of Psychological Mechanisms,1,870abc17d060a72738746f727d9723db088217f9,4e671994e5b0c7aefbecd050e95fdb45272d7e12,4,True,3,276,264,4,1.0,0.0,870abc17d060a72738746f727d9723db088217f9>4e671994e5b0c7aefbecd050e95fdb45272d7e12
"DOI: 10.7554/eLife.08828 1 of 27
mitochondrial division (Friedman et al., 2011; Korobova et al., 2013; Murley et al., 2013; Korobova et al., 2014).",Introduction,1,929a7548464ce1d9d785abbe35da34842c0133e6,21096eb950bdff77308ad3924d69b681589bdc91,11,True,3,101,80,4,0.7834,0.0,929a7548464ce1d9d785abbe35da34842c0133e6>21096eb950bdff77308ad3924d69b681589bdc91
The remnant of the total plasma membranes after extraction of caveolae is called bulk plasma membranes (40) (Fig.,RESULTS,1,1b7d342e9e8cfc8f2327c9f62f3d40b4be7e8624,00aadd931a2b4603101a355d6b18f2c2bd17a3cd,2,True,3,107,103,4,1.0,0.0,1b7d342e9e8cfc8f2327c9f62f3d40b4be7e8624>00aadd931a2b4603101a355d6b18f2c2bd17a3cd
We used an active contour algorithm [10] to segment the organs from 340 coronal slices over the two patients.,3. METHODOLOGY,0,5ab47755421be3c564a7ea61f37bfdabc4d3822b,37d72f5eff3540d6a99788c4ca83de2415d8ba1e,0,False,3,40,36,4,0.0,0.0,5ab47755421be3c564a7ea61f37bfdabc4d3822b>37d72f5eff3540d6a99788c4ca83de2415d8ba1e
"For women with competing care-giving responsibilities, this involves allowing them to be accompanied by their children, providing on-site childcare or offering childcare subsidies [64,68,79].",Providing self-determination opportunities,1,0323f404c7211e8e7f5034f070e3e1a54ecff495,7b889faead3d086f66e10d2b2024f1a85419c7d0,1,True,3,190,180,4,0.7338,0.0,0323f404c7211e8e7f5034f070e3e1a54ecff495>7b889faead3d086f66e10d2b2024f1a85419c7d0
"This change accelerates mitochondrial electron transport in the respiratory chain and produces more influx of electrons to the mitochondrial matrix, which in turn produces more ROS and RNS [21, 23, 33, 64, 100, 101, 107–118].",6. Mitochondrial Lesions,1,cf3d0d63e8ed6cb6bac03c00d21d8b87c83a39d5,3d8487b14c2aae003bcdf41f857e0b51c91f285f,3,True,3,224,189,4,1.0,0.0,cf3d0d63e8ed6cb6bac03c00d21d8b87c83a39d5>3d8487b14c2aae003bcdf41f857e0b51c91f285f
"Nevertheless, there is no high-quality evidence for the effectiveness of manipulative therapy for the treatment of CR.([8,17,18]) Shi-style cervical manipulation (SCM) is commonly used to treat CR in China.",,1,ebf18b99b02fb3d1db0496847c4a501822c13c5e,8cd504093b651fd4e1ee5cc5695bc607289314b3,0,True,3,128,119,4,0.7304,0.0,ebf18b99b02fb3d1db0496847c4a501822c13c5e>8cd504093b651fd4e1ee5cc5695bc607289314b3
"Consistent with previous reports (al-Khodairy et al., 1995; Seufert et al., 1995; Tanaka et al., 1999; Biggins et al., 2001), our data showed that Smt3 and Ubc9 have pivotal functions during mitosis.",Discussion,2,676b19ba1c40fedf4d27a3f48a766ac20b960f8e,fe2fd3262b549d1b36898127e3cc7ca1c1dd3646,4,True,0,80,60,4,0.7422,0.7422,676b19ba1c40fedf4d27a3f48a766ac20b960f8e>fe2fd3262b549d1b36898127e3cc7ca1c1dd3646
"Scp160p has already been implicated in one such network, the SESA (SMY2/EAP1/SCP160/ASC1) network, in the function of a translational activator (11,25).",DISCUSSION,1,10e20e964f4934b478319b37b0617f10880c7d2c,650a68920d6f007cd6d6de8a695fae07e7a8260f,8,True,3,151,144,4,1.0,0.0,10e20e964f4934b478319b37b0617f10880c7d2c>650a68920d6f007cd6d6de8a695fae07e7a8260f
"Clinical reports of energetic stress in HCM hearts (14, 15) prompted us to measure mitochondrial respiration, mitochondrial copy number, ROS emission/scavenging, and calcium handling in these 2 HCM mouse models.",GO (cellular component),0,326861d2fcb678c73ebdb8e065998cbab5f9f6e9,a81fc7d0035f1f651b8454f05274ebeee6dc6acc,0,False,3,59,51,4,0.7742,0.0,326861d2fcb678c73ebdb8e065998cbab5f9f6e9>a81fc7d0035f1f651b8454f05274ebeee6dc6acc
"Previous empirical analyses of subnational consumer subsidies found that a majority of solar adoption was attributable to subsidies (e.g., Hughes and Podolefsky, 2015; Burr, 2016; De Groote and Verboven, 2016; Gillingham and Tsvetanov, 2017).",2.1 Economic and Policy Environment,1,2bc41c1556884d73206abcb0f0c3812e4bef205b,d91ae7f9c252cc67980a19231970ee249fcbd92e,3,True,3,240,210,4,0.7601,0.0,2bc41c1556884d73206abcb0f0c3812e4bef205b>d91ae7f9c252cc67980a19231970ee249fcbd92e
"The third group of proteins might be necessary to cope with the alterations in electron Xow such as NdhD2, OCP, and the thioredoxin-like AhpC (Ohkawa et al. 2000; Kobayashi et al. 2004; Wilson et al. 2006).",Results,1,5d3996c173eeedf80bd41f36aff3c0c9da54937a,5142ce7b4f63cb4a956fbb52a07349210dd64cf6,0,False,3,161,143,4,0.7749,0.0,5d3996c173eeedf80bd41f36aff3c0c9da54937a>5142ce7b4f63cb4a956fbb52a07349210dd64cf6
These results are consistent with field observations of plasma electrolyte concentrations and thermal behaviour of the lizards Sauromalus hispidus and Uromastix acanthinurus (Grenot 1976; Smits 1984) and laboratory observations of S. hispidus (Smits et al. 1986).,Discussion,2,cac9d02d7c9e7a082135858b927fa32770de68dc,None,0,False,1,186,175,4,0.0,0.0,cac9d02d7c9e7a082135858b927fa32770de68dc>None
"4 lead to a decrease in SC absorption in mice (Deng et al., 2010; Deng et al., 2012).",INTRODUCTION,1,af794c74a2bfd33336bca2a410ed42a978d98a89,691576326d898a7e56628c7775eb1acd93316a58,4,True,3,84,46,4,1.0,0.0,af794c74a2bfd33336bca2a410ed42a978d98a89>691576326d898a7e56628c7775eb1acd93316a58
"found that SNPs of MMP-1 were linked to an increased risk of colorectal cancer [12,13].",Introduction,1,729825e6d3fad0a83fbcbd456f817d05d4dd28f2,49ceb1ded7f36b2a523f383150782a81d80c6863,1,False,3,86,79,4,1.0,0.0,729825e6d3fad0a83fbcbd456f817d05d4dd28f2>49ceb1ded7f36b2a523f383150782a81d80c6863
"Matricellular proteins are thought to contribute to the organization and biomechanical stability of
the ECM by modulating cell-matrix interactions and cell signaling rather than by serving directly as structural components (Bornstein et al., 2000).",6. DISCUSSION,1,0c84e9852f312bb9b0dfd1955ebc3cf56123bf94,2dce7fc0c967c8938391c54b4cde6b377d49175a,2,False,3,246,224,4,0.7141,0.0,0c84e9852f312bb9b0dfd1955ebc3cf56123bf94>2dce7fc0c967c8938391c54b4cde6b377d49175a
"The beneficial role of PBM as supportive modality in the management of postmastectomy lymphedema is well established based on strong evidence [15, 16] and recent data suggest its beneficial role concerning radiation-induced oral mucositis [17–20].",Discussion,1,607f8689d219edadabfcf2cb62c48f946eed9450,1b30fdb090377f302ff8bc8c5f3f1f42ac157c84,1,False,3,150,142,4,1.0,0.0,607f8689d219edadabfcf2cb62c48f946eed9450>1b30fdb090377f302ff8bc8c5f3f1f42ac157c84
"The mitochondrial transmembrane potential was measured using flow cytometry of cells stained with 5,5′,6,6′- tetrachloro-1,1′,3,3′-tetraethylbenzimidazolcarbocyanineiodide (JC-1) (Cossarizza et al., 1993) as described previously (Dymkowska et al., 2006).",MATERIALS AND METHODS,0,c9a63a4272af92612219617b75bcf0c6ab2bfdd7,cb101cdbe7aac08d64577ea4ec526d1663a9899d,6,False,3,248,226,4,1.0,0.0,c9a63a4272af92612219617b75bcf0c6ab2bfdd7>cb101cdbe7aac08d64577ea4ec526d1663a9899d
"The language models were characterN-grams trained using texts from the Corpus of Spontaneous Japanese (CSJ) [23], which contains 12.",,0,b950f4539f57d008a62d1b14f076fa79362226b0,096bdd2bf22b5f68c1e4f6fb8e684a3e8f47953c,1,True,3,112,108,4,1.0,0.0,b950f4539f57d008a62d1b14f076fa79362226b0>096bdd2bf22b5f68c1e4f6fb8e684a3e8f47953c
"Cisplatin has dramatically been used as the first line treatment for several types of solid tumors, such as breast, head and neck, ovarian, and lung cancers [17].",Introduction,1,68a0523eae915908c151ce0f00d3289d5944586b,f589dd5ca77e324b57154ffb843cf9857e94d33e,0,False,3,161,157,4,0.765,0.0,68a0523eae915908c151ce0f00d3289d5944586b>f589dd5ca77e324b57154ffb843cf9857e94d33e
"In recent years, a similar genotype shift has been observed in South Korea, northern Vietnam, China, Taiwan and Thailand (Chen et al., 2011; Nam et al., 1996; Nga et al., 2004; Nitatpattana et al., 2008; Pan et al., 2011; Wang et al., 2007; Yang et al., 2004; Yun et al., 2010; Zhang et al., 2009, 2011).",INTRODUCTION,1,60ff14a8bce8e43c0cb85f5433ed57409d7b2899,45a5b5b6883064ab16de2f0e424ed83fceedf2b8,0,False,3,303,121,4,0.7436,0.0,60ff14a8bce8e43c0cb85f5433ed57409d7b2899>45a5b5b6883064ab16de2f0e424ed83fceedf2b8
"However, localization of additional γ-tubulin that surrounds the centrosomes only during mitosis does require microtubules (McNally and Thomas, 1998; Khodjakov and Rieder, 1999).",,1,efaa33b745b1420d6bf13873a4df09680c7984e0,eb08d5a6852228a7b45deb22f1bf4dde945020c6,4,False,3,177,123,4,1.0,0.0,efaa33b745b1420d6bf13873a4df09680c7984e0>eb08d5a6852228a7b45deb22f1bf4dde945020c6
"…is consistent with the currently-held notion that dsRNA targets the gene-specific destruction of mRNA in a wide variety of eukaryotic cells (Fire et al., 1998; Tabara et al., 1998; Tabara et al., 1999; Sanchez-Alvorado and Newmark, 1999; Grishok et al., 2000; Boscher and Labouesse, 2000;…",DISCUSSION,1,99169f18a30bfcf450d1c08304d4bfb73476a4bc,15aa036f9761495ca881a3f21b09ceab90821104,4,True,3,159,142,4,0.7189,0.0,99169f18a30bfcf450d1c08304d4bfb73476a4bc>15aa036f9761495ca881a3f21b09ceab90821104
Spermatogonial transplantation was performed and recipients were prepared as described previously [7].,Materials and Methods,0,11452d7d54ccb0a38251b21baf988d2cef80de18,df07e27533ed02351a090850f93259b5ba6df76e,10,False,3,101,98,4,0.6036,0.0,11452d7d54ccb0a38251b21baf988d2cef80de18>df07e27533ed02351a090850f93259b5ba6df76e
"More examples of contradictory results have been observed in bovines; some reports (Zakhartchenko et al., 2001; Bhuiyan et al., 2004) indicated a significant decrease in blastocyst",DISCUSSION,2,39aca52b748a1e8969413295fc736ea90fd930ea,b7c9b2632ffbcef4a35a6bf0c85686d9f11c1532,9,True,1,133,83,4,0.7661,0.5147,39aca52b748a1e8969413295fc736ea90fd930ea>b7c9b2632ffbcef4a35a6bf0c85686d9f11c1532
"Increasing the number of EPIYA motifs leads to an increase in the level of CagA phosphorylation (Higashi et al., 2002a; Argent et al., 2004, 2008a; Zhang et al., 2005; Naito et al., 2006).",INTRODUCTION,1,91e70dd09e2f11ae1fe9d50a158e0897982c59f5,4df6b3366a6941eb537d4990fa82e963205feca2,1,True,3,118,97,4,1.0,0.0,91e70dd09e2f11ae1fe9d50a158e0897982c59f5>4df6b3366a6941eb537d4990fa82e963205feca2
", 2008), and Srebp1/2 are known to interact with Hmgb1/2; their activity has been reported to be enhanced by Hmgb1 (Najima et al., 2005).",RESULTS,1,38f75407e33adf753372ad61a05761abff2bd9b1,8067ef3a4a8c620f615368408a811747cacb15dc,1,False,3,136,115,4,1.0,0.0,38f75407e33adf753372ad61a05761abff2bd9b1>8067ef3a4a8c620f615368408a811747cacb15dc
"This is in keeping with the report of Blickstein et al,[3,15] which showed that the higher the combined twin birthweight the less likely it was to deliver discordant pairs.",Discussion,2,15783ea4c99fe2b855d04f3531395faff82aa95a,f2e93d20d57b3f296911c399705fa5eed006c764,1,True,0,61,55,4,0.7,0.7,15783ea4c99fe2b855d04f3531395faff82aa95a>f2e93d20d57b3f296911c399705fa5eed006c764
"Coinciding with our results, it has been previously reported that i.p. injections of β-glucan reduced IFN-γ production induced by concanavalin A in mice (Pelizon et al., 2003).",DISCUSSION,2,48efd0b4da7649dc865f6ea10a54e78004bb6b0a,5e9bdbeb12fb3d726cc5f6caaa0bb85e4319644e,2,False,3,172,152,4,1.0,0.0,48efd0b4da7649dc865f6ea10a54e78004bb6b0a>5e9bdbeb12fb3d726cc5f6caaa0bb85e4319644e
"The occurrence of soft tissue tumors in such field of low-dose irradiation (LDRI) has also been emphasized by other authors [50, 52, 53] reporting the development of tumors of the skull bone and neck after exposure to full-mouth diagnostic dental X-ray film [3] and to irradiation for enlarged tonsils [54] and thymus [55].",Discussion,2,2e8e515a004bee99bb91d5344dc91e8855e3395e,0da4a90c139164532691e314425354c2a80a9578,0,False,3,136,124,4,0.0,0.0,2e8e515a004bee99bb91d5344dc91e8855e3395e>0da4a90c139164532691e314425354c2a80a9578
"In this chapter we will present the formalism for these different kinds of beamformers in their scalar form, then develop the formalism for a vector beamformer (Sekihara et al., 2001, Quraan and Cheyne 2010) and an eigenstate-projected vector beamformer (Sekihara et al., 2001).",1. Introduction,1,e364d59a1dc537f2d51cebd7647030833629bb07,d18293e4a7b9d11f93cd5384005e289e00122f07,0,False,3,206,184,4,0.7406,0.0,e364d59a1dc537f2d51cebd7647030833629bb07>d18293e4a7b9d11f93cd5384005e289e00122f07
", 2010), and retromer tubule formation is reported to be maximal at the time of Rab5-to-Rab7 conversion (Cullen and Korswagen, 2012; van Weering et al., 2012).",INTRODUCTION,1,ad241e15eb1e767b6a8bf91e081ba89fa1784d84,88ed7f5b40fbe4f1d212b2967eff5cba78c85d75,4,True,3,158,104,4,1.0,0.0,ad241e15eb1e767b6a8bf91e081ba89fa1784d84>88ed7f5b40fbe4f1d212b2967eff5cba78c85d75
"A serotype-shift occurred over the years with a predominance of DENV-1in 2010, DENV-2 in 2013 and again DENV-1 in 2016 [25].",Discussion,1,ac5fb99eda6b95e9703bb3d93417df5f7373e662,e9891d090394b105cc1a6a85ccf55253ca96728c,0,False,3,123,119,4,1.0,0.0,ac5fb99eda6b95e9703bb3d93417df5f7373e662>e9891d090394b105cc1a6a85ccf55253ca96728c
"Existing applications of neural meanfield models to anesthesiainduced changes in spontaneous EEG rhythmsmostly focused on understanding the dynamical mechanisms underlying bi-phasic responses (Bojak and Liley, 2005; Hutt and Longtin, 2010; Steyn-Ross et al., 1999).",Scope and extensions,1,bb21e98f4b1b7bc5a2e89fda1139d98763d78bab,c14be2a7007e022da13889d804a540d0c0c34264,5,True,3,238,216,4,1.0,0.0,bb21e98f4b1b7bc5a2e89fda1139d98763d78bab>c14be2a7007e022da13889d804a540d0c0c34264
"In phytophagous arthropods, atranorin was reported to elicit a significant avoidance (Nimis and Skert 2006) or to reduce growth of insect larvae (Pöykkö et al. 2005; Slansky 1979) but no protective effect of atranorin was noticed in snails (Gauslaa 2005; Hesbacher et al. 1995).",Discussion,1,044557c18b4243f8d567b874fca8b9f908b3bdb1,500ac9f017ebe3886fc573ecd7b2d16d72f3cd29,0,False,3,253,241,4,1.0,0.0,044557c18b4243f8d567b874fca8b9f908b3bdb1>500ac9f017ebe3886fc573ecd7b2d16d72f3cd29
"…has been undertaken at several locations including the Ganges delta of southern Bangladesh (Wang and Imhoff 1993), Everglades National Park (Simard et al. 2006), Madagascar (Pasqualini et al. 1999), Kakadu and Daintree National Parks in Australia, French Guiana and Malaysia (Lucas et al. 2007).",Background,1,a90db26255bf4bd0251dd1d6d3c48af2eb4072ac,41d7d2f90f1c139a9537a1be239e9c823ea22646,1,False,3,197,175,4,1.0,0.0,a90db26255bf4bd0251dd1d6d3c48af2eb4072ac>41d7d2f90f1c139a9537a1be239e9c823ea22646
"In [3], the authors show the bandwidth towards the L0 scratchpad memory is around L0Y times larger than the minimal (where each pixel is transferred once from the L1 to the L0 scratchpad memory).",1. INTRODUCTION,1,1101d5e8b3bac5243ccd4251c3f60b59e35ade37,a0372f7f85607ad16681f4e506c195645c5863ee,0,False,3,6,3,4,1.0,0.0,1101d5e8b3bac5243ccd4251c3f60b59e35ade37>a0372f7f85607ad16681f4e506c195645c5863ee
"…Takamori et al. (2001)
Endocrine cells, diencephalon (thalamus);
presynaptic
Brainstem catecholaminergic groups
Stornetta et al. (2002a, b); PVN (Herman et al. 2004); ME CRH cells, PP Wittmann et al. (2013)
Not Viable (die at birth)
Moechars et al. (2006), WallenMackenzie et al. (2006)
VGluT3…",VGluT3,1,e4381e08dc4560734aa844b63619c29f3ca7b4b7,5d53f75d1e3aad4e9d7b9c280541cfc3ff7f9bae,4,True,3,165,147,4,1.0,0.0,e4381e08dc4560734aa844b63619c29f3ca7b4b7>5d53f75d1e3aad4e9d7b9c280541cfc3ff7f9bae
"Following Carreras (2007) and Koo and Collins (2010), before training we transform the training set trees to be the best achievable within the model class (i.e., the closest projective tree or 1-Endpoint-Crossing tree).",5.5 Experiments,0,f78435844f6f59630273f3c8a31800fb4b59aa65,c205e82ddf7d9bd759cca3e16baa60c49cecf056,0,False,3,25,10,4,0.0,0.0,f78435844f6f59630273f3c8a31800fb4b59aa65>c205e82ddf7d9bd759cca3e16baa60c49cecf056
"A series of genes (termed exo) involved in succinoglycan biosynthesis have been cloned and sequenced (10, 11, 12, 67, 68, 103, 113).",,1,b4465f300d540ee0c4261522c64a9f7c7684ab9f,05ea19e2b660025765aac6249f47f9183d0472d8,3,True,3,131,101,4,1.0,0.0,b4465f300d540ee0c4261522c64a9f7c7684ab9f>05ea19e2b660025765aac6249f47f9183d0472d8
"The main distribution of 13-galactosidase-producing cells in tissues from the different lines is summarized in Table I in parallel with the evaluation of collagen VI expression products in control embryos at different locations (Marvulli et al., 1996).",,1,78df72c544579fbdc6f5c9a4b38434699e645873,a0c52ddd655648ddf0c426553bf0957e8abcc02a,2,False,3,251,228,4,1.0,0.0,78df72c544579fbdc6f5c9a4b38434699e645873>a0c52ddd655648ddf0c426553bf0957e8abcc02a
"…a high overlap between PSD-95 and PLCb1 signals in the cerebral cortex, thus confirming a well defined subcellular location for PLCb1, which previously could be only demonstrated by Western blot analysis of subcellular fractions (Taguchi et al., 2007) or electron microscopy (Fukaya et al., 2008).",Technical considerations,1,80160aee8cdcbc26e6b65dd28fd07246c349140c,9b191008e5ce88ef5fb79694fa7fb8d7ab10170b,8,True,3,296,277,4,1.0,0.0,80160aee8cdcbc26e6b65dd28fd07246c349140c>9b191008e5ce88ef5fb79694fa7fb8d7ab10170b
Neurodevelopmental outcome was assessed at 24 months using the Revised Griffith‚Äôs scales of Mental Development [24].,Methods,0,10f06d20a2bdecc69cb1d253d30ecad4b2c69405,31a2353cc61f4e73c7eee8f3c1a03ebf13373ee6,0,False,3,115,111,4,0.0,0.0,10f06d20a2bdecc69cb1d253d30ecad4b2c69405>31a2353cc61f4e73c7eee8f3c1a03ebf13373ee6
"The antioxidant BHT accumulates predominantly in the lung and induces alveolar epithelial damage because of its action on AEC1 (21), which is followed by the proliferation of pulmonary parenchymal cells resembling human UIP (20,22).",Discussion,1,89d1c36c9e9e05ab0dc2f1e50589913eb2f57e80,0dc94c0e43086e09e474a0da769ce280e9dad6b0,0,False,3,231,224,4,0.7263,0.0,89d1c36c9e9e05ab0dc2f1e50589913eb2f57e80>0dc94c0e43086e09e474a0da769ce280e9dad6b0
"However, unlike Cochrane and Saa-Requejo (2000), the authors do not use a Sharpe ratio criterion to restrict the price interval for assets in incomplete markets, but a generalized version of the coherent risk measure first introduced by Artzner et al. (1999). Carr et al. (2001) argue that economic agents will not only invest in any arbitrage opportunity, but also invest in any acceptable opportunity.",,0,fbea85be172e21855cee46d6209bae3f95941ff3,17f2bd869df15476815b6d6a98d9a3184ea6c714,0,True,3,279,237,4,0.6246,0.0,fbea85be172e21855cee46d6209bae3f95941ff3>17f2bd869df15476815b6d6a98d9a3184ea6c714
"Stress and the subsequent activation of the HPA axis facilitate the acquisition of cocaine self-administration (Tidey and Miczek, 1997; Mantsch et al., 1998); manipulations of the HPA axis resulting in a reduction of function through pharmacological or surgical means can attenuate the acquisition…",DISCUSSION,1,3ebfb729621e55b8d9439ddb58074a342e7c1207,ef00264a745c3fc01019f8483502fcec7986e0c6,1,False,3,156,136,4,0.7403,0.0,3ebfb729621e55b8d9439ddb58074a342e7c1207>ef00264a745c3fc01019f8483502fcec7986e0c6
"For example, elk may form smaller groups when exposed to wolf predation risk in relatively closed habitats (Creel & Winnie 2005), but form larger groups in open habitats where wolf densities are higher (Gower et al. 2009).",Introduction,1,21c7fa119032c976a89625081e9fc8497aadf520,dbcb2c6cbf1ce8aa365028b1437e918b30e5e0a5,2,True,3,127,108,4,1.0,0.0,21c7fa119032c976a89625081e9fc8497aadf520>dbcb2c6cbf1ce8aa365028b1437e918b30e5e0a5
"…mechanisms of resistance to CDDP have been described, including reduced intracellular accumulation of CDDP; increased detoxification of CDDP by the thiols, glutathione and metallothionein; increased DNA-repair activity; and increased tolerance to DNA damage (Galluzzi et al. 2012; Kelland 2007).",Introduction,1,6456c9c786e55a6232fb8ab9d6fff3c50d5fc2c1,f589dd5ca77e324b57154ffb843cf9857e94d33e,0,False,3,294,282,4,1.0,0.0,6456c9c786e55a6232fb8ab9d6fff3c50d5fc2c1>f589dd5ca77e324b57154ffb843cf9857e94d33e
2000) and in skeletal muscle denervated by transection of the sciatic nerve (Baumeister et al. 1997; Tsukamoto et al. 2002).,Introduction,1,0fd548a07b8d113f5f6a6255abe191668120ac53,74809ba2f3834024b56f5b0784655b1435708c60,0,False,3,123,76,4,1.0,0.0,0fd548a07b8d113f5f6a6255abe191668120ac53>74809ba2f3834024b56f5b0784655b1435708c60
"Other potentially carcinogenic effects of insulin resistance stem from abnormal levels of glucose and fatty acids, which include: altered intracellular signaling, chronic inflammation resulting from production of reactive oxygen species, and enhanced proliferation of transformed colonocytes due to increased energy supply [1].",,1,fbfe2f43a8cc743b21e4177e5d0440849db1724e,412434187174932788fc14d7d51f88ff45b3c0d8,2,True,3,326,323,4,1.0,0.0,fbfe2f43a8cc743b21e4177e5d0440849db1724e>412434187174932788fc14d7d51f88ff45b3c0d8
Recent studies have shown that the global flux distribution in oleaginous Chlorella protothecoides and Chlamydomonas reinhardtii remains stable under nitrogen limiting conditions and is controlled by the availability of carbon precursors (Xiong et al. 2010; Fan et al. 2012).,Background,1,3e883835fcb3fcbfdae9ca37dc7a20fb267e3248,8b36f7dd382ff8ffa3c65fde7405085423a6ac77,0,False,3,273,258,4,1.0,0.0,3e883835fcb3fcbfdae9ca37dc7a20fb267e3248>8b36f7dd382ff8ffa3c65fde7405085423a6ac77
"…Lemos et al., 2015) at baseline, allowed for the division of the aMCI group according to an AD-alike pattern of impairment at baseline (Lemos et al., 2015), and was associated with the risk of conversion to AD in follow-up studies (Auriacombe et al., 2010; Petersen, 2007; Sarazin et al., 2010).",Discussion,2,9462acef826a6b495fe8fb281660ee4418bb840e,21aaceb3fc27e8cc831e25191d967daa0d8962bf,8,True,0,294,274,4,0.7633,0.7633,9462acef826a6b495fe8fb281660ee4418bb840e>21aaceb3fc27e8cc831e25191d967daa0d8962bf
