Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
[BOOK][B] Understanding big data: Analytics for enterprise class hadoop and streaming data,"P Zikopoulos, C Eaton - 2011 - dl.acm.org","Big Data represents a new era in data exploration and utilization, and IBM is uniquely 
positioned to help clients navigate this transformation. This book reveals how IBM is leveraging …",https://dl.acm.org/doi/abs/10.5555/2132803,2779,,"https://scholar.google.com/scholar?q=related:ciSJ6r5VLoMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Response to COVID-19 in Taiwan: big data analytics, new technology, and proactive testing","CJ Wang, CY Ng, RH Brook - Jama, 2020 - jamanetwork.com","Taiwan is 81 miles off the coast of mainland China and was expected to have the second 
highest number of cases of coronavirus disease 2019 (COVID-19) due to its proximity to and …",https://jamanetwork.com/journals/jama/article-abstract/2762689,1632,13,"https://scholar.google.com/scholar?q=related:DwGdPcjRQw0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Creating value with big data analytics: Making smarter marketing decisions,"PC Verhoef, E Kooge, N Walk - 2016 - books.google.com","… And how do we get a positive ROI on our investment in big data analytics? Whether you 
are just starting on your journey in big data analytics, or well on your way, you will learn a ton …",https://books.google.com/books?hl=en&lr=&id=NLZYCwAAQBAJ&oi=fnd&pg=PP1&dq=Data+Science&ots=9SNrgfWc82&sig=40UZiGuatFXsS3sQ1c9grRiuNVg,263,8,"https://scholar.google.com/scholar?q=related:7pcc4NmmQb4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data analytics in logistics and supply chain management: Certain investigations for research and applications,"G Wang, A Gunasekaran, EWT Ngai… - International journal of …, 2016 - Elsevier","… On the basis of the focus of our paper on big data analytics, logistics, and supply chain 
management as well as methods, metrics, and techniques, the following keywords were used: BD…",https://www.sciencedirect.com/science/article/pii/S0925527316300056,1329,9,"https://scholar.google.com/scholar?q=related:lGYELQm6aVkJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data analytics and firm performance: Effects of dynamic capabilities,"SF Wamba, A Gunasekaran, S Akter, SJ Ren… - Journal of Business …, 2017 - Elsevier","… big data analytics (BDA), information system (IS) success and the business value of information 
technology (IT), this study proposes a big data analytics … survey to collect data from 297 …",https://www.sciencedirect.com/science/article/pii/S0148296316304969,1613,10,"https://scholar.google.com/scholar?q=related:btw9eEKC7sMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Reflections on societal and business model transformation arising from digitization and big data analytics: A research agenda,"C Loebbecke, A Picot - The Journal of Strategic Information Systems, 2015 - Elsevier","… We include the concept of big data analytics serving as a means to analyze and interpret 
any kind of digital information. Technical and analytical advancements in big data analytics, …",https://www.sciencedirect.com/science/article/pii/S0963868715000372,1212,8,"https://scholar.google.com/scholar?q=related:IO5o_98_STgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Introduction to machine learning with Python: a guide for data scientists,"AC Müller, S Guido - 2016 - books.google.com","… After looking at the data for a while, our novice data scientist comes up with the fol‐lowing … 
does, our data scientist answers, “It’s 100 percent accurate!” And indeed, on the data that is in …",https://books.google.com/books?hl=en&lr=&id=1-4lDQAAQBAJ&oi=fnd&pg=PP1&dq=Data+Science&ots=28oODIPMW_&sig=9fLLRI74bPgQgVh1k2U7Nt8--Dc,1689,7,"https://scholar.google.com/scholar?q=related:Q28kjmnCRkIJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data analytics capabilities and knowledge management: impact on firm performance,"A Ferraris, A Mazzoleni, A Devalle… - Management Decision, 2019 - emerald.com","… data analytics (BDA) guarantees that data may be analysed and categorised into useful 
information for businesses and transformed into big data … modelling with data collected from 88 …",https://www.emerald.com/insight/content/doi/10.1108/MD-07-2018-0825/full/html,409,6,"https://scholar.google.com/scholar?q=related:CIh7A8WcV4YJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[PDF][PDF] QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science","E Bolyen, JR Rideout, MR Dillon, NA Bokulich, C Abnet… - 2018 - peerj.com","… data science platform accessible to users spanning the microbiome research ecosystem, 
from scientists and … data provenance tracking to ensure reproducible, transparent microbiome …",https://peerj.com/preprints/27295.pdf,849,7,"https://scholar.google.com/scholar?q=related:qFXbV88Y9_YJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] Предиктивная аналитика с использованием Data Science на железнодорожном транспорте,"АВ Озеров, АМ Ольшанский, АП Куроптева - Наука и технологии …, 2020 - niias.ru","… техники и транспортных происшествиях, параллельно решается задача дальнейшей 
их обработки, анализа и принятия решения с использованием методов Data Science и …",https://niias.ru/upload/iblock/077/fz0gn2g2xtd3nft32veoedyzmzn9m8uy.pdf#page=65,9,,"https://scholar.google.com/scholar?q=related:JYQrg1uddQgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Cybersecurity in the era of data science: examining new adversarial models,"B Yener, T Gal - IEEE Security & Privacy, 2019 - ieeexplore.ieee.org","… big data, velocity may enforce a limitation on how many data … information to compute a function 
on the data. The need for a timely … One approach used in data science is called sketching, …",https://ieeexplore.ieee.org/abstract/document/8705390/,8,4,"https://scholar.google.com/scholar?q=related:b3MU4NGd4QEJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] Towards big data science in the decade ahead from ten years of InCoB and the 1st ISCB-Asia Joint Conference,"S Ranganathan, C Schönbach… - BMC …, 2011 - bmcbioinformatics.biomedcentral …","… data is reaching tsunami proportions [5], its clinical applications are seen as a “slowly rising 
tide” [6]. Perhaps, as Trelles et al. [7] suggest, we are not yet ready for Big Data science. As …",https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-12-S13-S1,28,16,"https://scholar.google.com/scholar?q=related:yBucFCBSMwQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] The challenges of data quality and data quality assessment in the big data era,"L Cai, Y Zhu - Data science journal, 2015 - datascience.codata.org","… of data quality research. Second, this paper analyzes the data characteristics of the big data 
… by big data, and formulates a hierarchical data quality framework from the perspective of …",https://datascience.codata.org/articles/10.5334/dsj-2015-002/,1025,7,"https://scholar.google.com/scholar?q=related:mRUbwk9NtcMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] A comprehensive survey of clustering algorithms,"D Xu, Y Tian - Annals of Data Science, 2015 - Springer","… Data analysis is used as a common method in modern science research, which is across 
communication science, computer science and biology science. Clustering, as the basic …",https://link.springer.com/article/10.1007/s40745-015-0040-1,1596,9,"https://scholar.google.com/scholar?q=related:5-yAD5aBetgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Welcome to the Tidyverse,"H Wickham, M Averick, J Bryan, W Chang… - Journal of open source …, 2019 - joss.theoj.org","… repeated tasks at the heart of every data science project: data import, tidying, manipulation, 
… These toolkits are critical for data science, but are so large that they merit separate treatment…",https://joss.theoj.org/papers/10.21105/joss.01686,7543,4,"https://scholar.google.com/scholar?q=related:z5z5Z_RLR7AJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] The fourth paradigm: data-intensive scientific discovery,"AJG Hey, S Tansley, KM Tolle - 2009 - diamond.ac.uk","… Either way, they can build models based on low-level data. • They eat and drink numbers; 
They know which questions to ask of the data. Every company will have lots of these. …",https://www.diamond.ac.uk/default/dam/jcr:bffe4035-c8e9-498a-945a-a4aae5289e01/Tony%20Hey%20-%20Diamond%20Workshop%20(June%202016).pdf,3937,10,"https://scholar.google.com/scholar?q=related:7cV9aKJFumsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Deep learning for IoT big data and streaming analytics: A survey,"M Mohammadi, A Al-Fuqaha, S Sorour… - … Surveys & Tutorials, 2018 - ieeexplore.ieee.org","… IoT big data analytics and IoT streaming data analytics. We … the desired analytics in these 
types of data and applications. … data analytics, we need to explore the properties of IoT data …",https://ieeexplore.ieee.org/abstract/document/8373692/,1152,6,"https://scholar.google.com/scholar?q=related:4_qhnVSvadQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[HTML][HTML] Beyond the hype: Big data concepts, methods, and analytics","A Gandomi, M Haider - International journal of information management, 2015 - Elsevier","… We highlight the expected future developments in big data analytics. … We conclude by 
highlighting the expected developments to realize in the near future in big data analytics. …",https://www.sciencedirect.com/science/article/pii/S0268401214001066,5154,16,"https://scholar.google.com/scholar?q=related:87oECwzFI1wJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[HTML][HTML] Big data: astronomical or genomical?,"ZD Stephens, SY Lee, F Faghri, RH Campbell… - PLoS …, 2015 - journals.plos.org","… integrating data science into graduate, undergraduate, and high-school curricula to train 
the next generations of quantitative biologists, bioinformaticians, and computer scientists and …",https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002195,1453,32,"https://scholar.google.com/scholar?q=related:D7PzWjDjMrgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Explaining explanations: An overview of interpretability of machine learning,"LH Gilpin, D Bau, BZ Yuan, A Bajwa… - … on data science and …, 2018 - ieeexplore.ieee.org","There has recently been a surge of work in explanatory artificial intelligence (XAI). This research 
area tackles the important problem that complex machines and algorithms often cannot …",https://ieeexplore.ieee.org/abstract/document/8631448.,1692,5,"https://scholar.google.com/scholar?q=related:f3wbGKu_mkwJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Safety and security in smart cities using artificial intelligence—A review,"S Srivastava, A Bisht, N Narayan - … Computing, Data Science & …, 2017 - ieeexplore.ieee.org","… The system combines natural language processing, heuristic, neural networks, data 
science with antivirus and is the first of its kind. x DarkTrace, another security firm, is not only …",https://ieeexplore.ieee.org/abstract/document/7943136/,87,2,"https://scholar.google.com/scholar?q=related:YmAPiKB2VhAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] Exploiting citation networks for large-scale author name disambiguation,"C Schulz, A Mazloumian, AM Petersen, O Penner… - EPJ Data Science, 2014 - Springer","… , but at best, they relied on incomplete data. Perhaps the most straightforward starting point 
… data deviates significantly from a Pareto power-law distribution. The most complete data-…",https://link.springer.com/content/pdf/10.1140/epjds/s13688-014-0011-3.pdf,83,25,"https://scholar.google.com/scholar?q=related:A4bN7iJepAsJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Essentials of business research methods,"JF Hair, M Page, N Brunsveld - 2019 - api.taylorfrancis.com","… We recognize that most managers and business students will not be data scientists. But 
an understanding of data analytics techniques will help them to better utilize the increasing …",https://api.taylorfrancis.com/v4/content/books/mono/download?identifierName=isbn&identifierValue=9780429203374&type=previewpdf,4016,14,"https://scholar.google.com/scholar?q=related:kmzKwdfTHXQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
A survey on unsupervised outlier detection in high‐dimensional numerical data,"A Zimek, E Schubert, HP Kriegel - … : The ASA Data Science …, 2012 - Wiley Online Library","High‐dimensional data in Euclidean space pose special challenges to data mining 
algorithms. These challenges are often indiscriminately subsumed under the term ‘curse of …",https://onlinelibrary.wiley.com/doi/abs/10.1002/sam.11161,868,3,"https://scholar.google.com/scholar?q=related:4eVbcmn9VV8J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[CITATION][C] Process mining: data science in action,"W Aalst - (No Title), 2016 - cir.nii.ac.jp","Process mining : data science in action | CiNii Research … Process mining : data science in 
action … タイトル ""Process mining : data science in action"" …",https://cir.nii.ac.jp/crid/1130004957425155712,271,,"https://scholar.google.com/scholar?q=related:i-PQ2lnDrVAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] Big data: the management revolution,"A McAfee, E Brynjolfsson, TH Davenport… - Harvard business …, 2012 - tarjomefa.com","… Along with the data scientists, a new generation of computer scientists are bringing to bear 
techniques for working with very large data sets. Expertise in the design of experiments can …",https://www.tarjomefa.com/wp-content/uploads/2017/04/6539-English-TarjomeFa-1.pdf,6938,16,"https://scholar.google.com/scholar?q=related:tBrjTgNpTRoJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[BOOK][B] Discovering knowledge in data: an introduction to data mining,"DT Larose, CD Larose - 2014 - books.google.com","… can learn data mining by doing data mining. The intention is to mirror the real-world data 
mining … the quality of the data, clean the raw data, deal with missing data, and perform transfor…",https://books.google.com/books?hl=en&lr=&id=9hOpAwAAQBAJ&oi=fnd&pg=PR11&dq=Data+Science&ots=9Qav6NcRS7&sig=cIFYtNOiza5o32GLtz7yYDbi5I4,4653,10,"https://scholar.google.com/scholar?q=related:c_kMfSrHtB4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Business intelligence and analytics: From big data to big impact,"H Chen, RHL Chiang, VC Storey - MIS quarterly, 2012 - JSTOR","… and analytics (BI&A) and the field of big data analytics have … (201 1) identified business 
analytics as one of the four major … More recently big data and big data analytics have been …",https://www.jstor.org/stable/41703503,7533,23,"https://scholar.google.com/scholar?q=related:fAWIlNtUR1QJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Learning analytics: The emergence of a discipline,"G Siemens - American Behavioral Scientist, 2013 - journals.sagepub.com","… for Learning Analytics Research and the International Educational Data Mining Society) 
have formed to foster a research community around the role of data analytics in education. This …",https://journals.sagepub.com/doi/pdf/10.1177/0002764213498851,1150,2,"https://scholar.google.com/scholar?q=related:14j8aEDD_OcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Machine learning: Trends, perspectives, and prospects","MI Jordan, TM Mitchell - Science, 2015 - science.org","… It is one of today’s most rapidly growing technical fields, lying at the intersection of computer 
science and statistics, and at the core of artificial intelligence and data science. Recent …",https://www.science.org/doi/abs/10.1126/science.aaa8415,5850,23,"https://scholar.google.com/scholar?q=related:pdcI9r5sCJcJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Emergence of big data research in operations management, information systems, and healthcare: Past contributions and future roadmap","S Guha, S Kumar - Production and Operations Management, 2018 - Wiley Online Library","… This study deals with how big data analytics has been used in the domains of information 
systems, operations management, and healthcare . We also discuss the future potential of big …",https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.12833,166,3,"https://scholar.google.com/scholar?q=related:1f2UPu7O4w4J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The network data repository with interactive graph analytics and visualization,"R Rossi, N Ahmed - Proceedings of the AAAI conference on artificial …, 2015 - ojs.aaai.org","… , and compare graph data in an interactive fashion by selecting (or filtering) data points (… to 
visualize and compare such data in real-time. The interactive data analytics platform is flexible …",https://ojs.aaai.org/index.php/AAAI/article/view/9277,1941,10,"https://scholar.google.com/scholar?q=related:Q3huQYBaYk0J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data analytics for qos prediction through probabilistic model checking,"G Cicotti, L Coppolino, S D'Antonio… - arXiv preprint arXiv …, 2014 - arxiv.org","… Since the amount of data retrieved during system monitoring can raise up very quickly [6], 
we use big data analytics solutions to guarantee the realtime evaluation of model parameters. …",https://arxiv.org/abs/1405.0327,3,6,"https://scholar.google.com/scholar?q=related:mlLy7q2rb1gJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Xgboost: A scalable tree boosting system,"T Chen, C Guestrin - … conference on knowledge discovery and data …, 2016 - dl.acm.org","… is used widely by data scientists to achieve state-… data and weighted quantile sketch for 
approximate tree learning. More importantly, we provide insights on cache access patterns, data …",https://dl.acm.org/doi/abs/10.1145/2939672.2939785,26124,37,"https://scholar.google.com/scholar?q=related:CvHGylBuf48J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Critical questions for big data: Provocations for a cultural, technological, and scholarly phenomenon","D Boyd, K Crawford - Information, communication & society, 2012 - Taylor & Francis","… Will data analytics help us understand online communities and political movements? Or 
will it be used to track protesters and suppress speech? Will it transform how we study human …",https://www.tandfonline.com/doi/abs/10.1080/1369118X.2012.678878,5695,14,"https://scholar.google.com/scholar?q=related:HEtCFYaqbeAJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[BOOK][B] Data-driven science and engineering: Machine learning, dynamical systems, and control","SL Brunton, JN Kutz - 2022 - books.google.com","… data science in a context that will make any mechanical engineer feel comfortable. Data science 
… “This book is a must-have for anyone interested in data-driven modeling and simulations…",https://books.google.com/books?hl=en&lr=&id=rxNkEAAAQBAJ&oi=fnd&pg=PR9&dq=Data+Science&ots=kmGXV0OC7q&sig=XJ1n00dqjru9AMlJQtqDPIuNkXU,1336,8,"https://scholar.google.com/scholar?q=related:cr9nWyMrGWQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data and due process: Toward a framework to redress predictive privacy harms,"K Crawford, J Schultz - BCL Rev., 2014 - HeinOnline","… "" is a generalized, imprecise term that refers to the use of large data sets in data science and 
predictive analytics.' In practice, the term encompasses three aspects of data magnification …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/bclr55&section=5,959,10,"https://scholar.google.com/scholar?q=related:Zlywo9z84eMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Empirical evaluation of rectified activations in convolutional network,"B Xu, N Wang, T Chen, M Li - arXiv preprint arXiv:1505.00853, 2015 - arxiv.org","… National Data Science Bowl Competition The task for National Data Science Bowl … There 
are 30,336 labeled gray scale images in 121 classes and there are 130,400 test data. Since the …",https://arxiv.org/abs/1505.00853,3196,3,"https://scholar.google.com/scholar?q=related:BhYt0giVQbwJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Ensembles of bagged TAO trees consistently improve over random forests, AdaBoost and gradient boosting","MÁ Carreira-Perpiñán… - … foundations of data science …, 2020 - dl.acm.org","Ensemble methods based on trees, such as Random Forests, AdaBoost and gradient boosting, 
are widely recognized as among the best off-the-shelf classifiers: they typically achieve …",https://dl.acm.org/doi/abs/10.1145/3412815.3416882,30,3,"https://scholar.google.com/scholar?q=related:8My6ai0PNCMJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Local Personal Data Processing with Third Party Code and Bounded Leakage,"R Carpentier, IS Popa, N Anciaux - … Conference on Data Science …, 2022 - hal.inria.fr","… personal data under control. A founding principle of PDMSs is to move the computation 
code to the user's data, not the other way around. This opens up new uses for personal data, …",https://hal.inria.fr/hal-03686098/,2,11,"https://scholar.google.com/scholar?q=related:nirMszh_NFgJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
[PDF][PDF] Competing on analytics,"TH Davenport - Harvard business review, 2006 - hosteddocs.ittoolbox.com","… “We’ve been collecting data for six or seven years, but it’s only become usable in the last … 
data,” remarked a manager of customer data analytics at UPS. And, of course, new analytics …",http://hosteddocs.ittoolbox.com/competinganalytics.pdf,1792,19,"https://scholar.google.com/scholar?q=related:dSBtHQ6AvJwJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Science of science,"S Fortunato, CT Bergstrom, K Börner, JA Evans… - Science, 2018 - science.org","… , and social scientists who together have developed big data–based capabilities for empirical 
analysis and generative modeling that capture the unfolding of science, its institutions, and …",https://www.science.org/doi/abs/10.1126/science.aao0185,892,13,"https://scholar.google.com/scholar?q=related:t_kek5tGz1kJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"Data-intensive applications, challenges, techniques and technologies: A survey on Big Data","CLP Chen, CY Zhang - Information sciences, 2014 - Elsevier","… Data has changed the way that we adopt in doing businesses, managements and researches. 
Data-intensive science especially in data-… Big Data analytics in a highly distributed system …",https://www.sciencedirect.com/science/article/pii/S0020025514000346,3789,15,"https://scholar.google.com/scholar?q=related:JVAhjI5RnowJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
"[BOOK][B] Visual analytics: Definition, process, and challenges","D Keim, G Andrienko, JD Fekete, C Görg… - 2008 - Springer","… However, much less has been suggested as to how user interactions on the data can … 
Analytics maybe differs most from Information Visualization, giving higher priority to data analytics …",https://link.springer.com/chapter/10.1007/978-3-540-70956-5_7,1569,29,"https://scholar.google.com/scholar?q=related:Kv4mTi2WU90J:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
The impact of digital technology and Industry 4.0 on the ripple effect and supply chain risk analytics,"D Ivanov, A Dolgui, B Sokolov - International Journal of Production …, 2019 - Taylor & Francis","… With these two frameworks, this study contributes to the literature by answering the questions 
of (1) what relations exist between big data analytics, Industry 4.0, additive manufacturing, …",https://www.tandfonline.com/doi/abs/10.1080/00207543.2018.1488086,1161,5,"https://scholar.google.com/scholar?q=related:2Sh0Muq5o0gJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Deep learning and process understanding for data-driven Earth system science,"M Reichstein, G Camps-Valls, B Stevens, M Jung… - Nature, 2019 - nature.com","… Here we argue that advances in machine learning and in observational and simulation 
capabilities within Earth sciences offer an opportunity to integrate simulation and data science …",https://www.nature.com/articles/s41586-019-0912-1,2067,12,"https://scholar.google.com/scholar?q=related:wVYd7YlR42kJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data for all: Privacy and user control in the age of analytics,"O Tene, J Polonetsky - Nw. J. Tech. & Intell. Prop., 2012 - HeinOnline","1 Big data is upon us. 3 Over the past few years, the volume of data collected and stored by … 
to instantly analyze heaps of unstructured data using modem experimental methods, …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nwteintp11&section=20,952,12,"https://scholar.google.com/scholar?q=related:gAxrA3EA74MJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Data mining with big data,"X Wu, X Zhu, GQ Wu, W Ding - … on knowledge and data …, 2013 - ieeexplore.ieee.org","… in the data-driven model and also in the Big Data revolution. … to enable data aggregation 
by combining data from all sources. … mining is arising in all science and engineering domains. …",https://ieeexplore.ieee.org/abstract/document/6547630/,3716,10,"https://scholar.google.com/scholar?q=related:RbGge09NF1EJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
Big data in health care: using analytics to identify and manage high-risk and high-cost patients,"DW Bates, S Saria, L Ohno-Machado, A Shah… - Health …, 2014 - healthaffairs.org","… -data analytics in health care. Much of US health care organizations’ focus in their use of 
analytics … the narrative text from EHRs into big-data analytics in health care. Extracting clinically …",https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2014.0041,1157,7,"https://scholar.google.com/scholar?q=related:q42mpjhz9KQJ:scholar.google.com/&scioq=Data+Science&hl=en&as_sdt=0,5"
